title,genres_clean,companies_names,director
relentless,"Mystery, Thriller, Horror, Crime","Cinetel Films, Out of the Dark Productions",William Lustig
renegades,"Action, Crime, Thriller","Universal Pictures, Morgan Creek Productions",Jack Sholder
the return of swamp thing,"Horror, Science Fiction",Lightyear Entertainment,Jim Wynorski
the return of the musketeers,"Comedy, Action, Adventure",no register,Richard Lester
road house,"Action, Thriller","United Artists, Star Partners II Ltd., Silver Pictures",Rowdy Herrington
romero,"Drama, History",Paulist Pictures,John Duigan
rosalie goes shopping,Comedy,"Bayerischer Rundfunk (BR), Pelemele Film",Percy Adlon
rude awakening,Comedy,"Aaron Russo Productions, Cineplex-Odeon Films",Aaron Russo
santa sangre,"Fantasy, Horror, Mystery","Produzioni Intersound, Productora Filmica Real",Alejandro Jodorowsky
scandal,"Drama, History, Romance","Miramax Films, Palace Pictures, British Screen Productions",Michael Caton-Jones
scenes from the class struggle in beverly hills,Comedy,no register,Paul Bartel
sea of love,"Drama, Crime, Mystery",Universal Pictures Corporation,Harold Becker
"see no evil, hear no evil","Crime, Comedy",TriStar Pictures,Arthur Hiller
she's out of control,"Comedy, Romance","Columbia Pictures, Weintraub Entertainment Group",Stan Dragoti
shirley valentine,"Romance, Comedy, Drama",no register,Lewis Gilbert
shocker,"Thriller, Comedy, Horror","Alive Films, Universal City Studios, Carolco International N.V.",Wes Craven
skin deep,"Romance, Comedy, Drama","Beco Films, Morgan Creek Productions",Blake Edwards
slaves of new york,Drama,no register,James Ivory
some girls,"Comedy, Drama, Romance","Wildwood Enterprises, Metro-Goldwyn-Mayer (MGM), The Oxford Film Company",Michael Hoffman
stepfather ii: make room for daddy,"Horror, Thriller","Incorporated Television Company (ITC), Part II Productions, Millimeter Films",Jeff Burr
the stepfather,"Drama, Horror, Mystery, Thriller",Incorporated Television Company (ITC),Joseph Ruben
sweetie,"Drama, Comedy","New South Wales Film Corp., Arenafilm",Jane Campion
the tall guy,"Comedy, Romance","Virgin Vision, London Weekend Television (LWT), Working Title Films",Mel Smith
tango & cash,"Action, Adventure, Comedy",Warner Bros.,Andrei Konchalovsky
tap,"Action, Drama","TriStar Pictures, Beco Films",Nick Castle
three fugitives,Comedy,"Touchstone Pictures, Silver Screen Partners IV",Francis Veber
troop beverly hills,"Adventure, Comedy, Family","Columbia Pictures, Weintraub Entertainment Group",Jeff Kanew
turner & hooch,"Action, Comedy, Thriller, Crime, Family","Silver Screen Partners III, Touchstone Pictures",Roger Spottiswoode
uhf,Comedy,"Orion Pictures, Cinecorp",Jay Levey
uncle buck,"Comedy, Drama, Family","Universal Pictures, Hughes Entertainment",John Hughes
vampire's kiss,"Comedy, Horror","Hemdale Film Corporation, Magellan Pictures",Robert Bierman
the war of the roses,"Comedy, Drama, Thriller","Gracie Films, Twentieth Century Fox Film Corporation",Danny DeVito
warlock,"Adventure, Comedy, Fantasy, Horror",New World Pictures,Steve Miner
the wizard,"Adventure, Comedy, Drama, Family, Romance",Universal Pictures,Todd Holland
worth winning,"Comedy, Romance",A&M Films,Will Mackenzie
warlock: the armageddon,"Fantasy, Horror, Science Fiction","Tapestry Films, Trimark Pictures",Anthony Hickox
weekend at bernie's ii,Comedy,"TriStar Pictures, Artimm",Robert Klane
billy liar,"Romance, Comedy, Drama","Vic Films Productions, Waterfall Prouctions",John Schlesinger
black robe,"Adventure, Drama, History","Téléfilm Canada, Alliance Communications Corporation, Samson Productions, Australian Film Finance Corporation (AFFC), First Choice Canadian Communication Corporation, Goldwyn Pictures Corporation (II), Rogers Telefund",Bruce Beresford
the cat o' nine tails,"Horror, Mystery, Thriller","Labrador Films, Seda Spettacoli, Terra-Filmkunst",Dario Argento
the cotton club,"Music, Drama, Crime, Romance","Orion Pictures, PSO International, Totally Independent",Francis Ford Coppola
def-con 4,"Horror, Science Fiction, Thriller, Action","New World Pictures, Salter Street Films International",Paul Donovan
the hotel new hampshire,"Comedy, Drama","Orion Pictures, Woodfall Film Productions, Filmline Productions",Tony Richardson
idiot box,"Comedy, Drama, Foreign, Thriller",Australian Film Finance Corporation (AFFC),David Caesar
left luggage,Drama,no register,Jeroen Krabbé
who'll stop the rain,"War, Drama, Thriller, Crime, Action",Katzka-Jaffe,Karel Reisz
"zorro, the gay blade","Western, Action, Comedy, Adventure, Romance",Melvin Simon Productions,Peter Medak
basket case,"Comedy, Horror",Basket Case Productions,Frank Henenlotter
orphans,"Comedy, Drama","Antoinine Green Bridge, Scottish Arts Council, The, The Scottish Arts Council",Peter Mullan
original sin,Thriller,"Intermedia Films, DiNovi Pictures, Epsilon Motion Pictures, Metro-Goldwyn-Mayer (MGM), Via Rosa Productions, Hyde Park Entertainment, UGC DA International",Michael Cristofer
the princess diaries,"Comedy, Family, Romance","Walt Disney Pictures, BrownHouse Productions, Bottom of the Ninth Productions",Garry Marshall
rush hour 2,"Action, Comedy, Crime, Thriller",New Line Cinema,Brett Ratner
thomas in love,"Drama, Comedy, Science Fiction, Romance, Foreign",Entre Chien et Loup,Pierre-Paul Renders
chocolat,Drama,"Cerito Films, Caroline Productions, Cinémanuel",Claire Denis
hatari!,"Action, Adventure, Comedy","Paramount Pictures, Malabar",Howard Hawks
la cage aux folles,Comedy,"United Artists, Les Productions Artistes Associés, Da Ma Produzione",Édouard Molinaro
la cage aux folles ii,Comedy,"Les Productions Artistes Associés, Da Ma Produzione",Édouard Molinaro
liebestraum,"Horror, Thriller, Mystery, Romance","Pathé Entertainment, Initial Entertainment Group (IEG), Metro-Goldwyn-Mayer (MGM)",Mike Figgis
marat/sade,"Music, Drama, History","Royal Shakespeare Company, Marat Sade Productions",Peter Brook
paint your wagon,"Drama, Action, Comedy, Western, Music","Paramount Pictures, Malpaso Productions, Alan Jay Lerner Productions",Joshua Logan
the shootist,"Action, Adventure, Drama, Western","Paramount Pictures, Dino De Laurentiis Company",Don Siegel
theremin: an electronic odyssey,"Documentary, Music",no register,Steven M. Martin
the wild child,Drama,"Les Films du Carrosse, Les Productions Artistes Associés, Les Artistes Associés",François Truffaut
altered states,"Mystery, Drama, Fantasy, Science Fiction, Thriller, Horror",Warner Bros.,Ken Russell
any which way you can,"Action, Adventure, Comedy","Warner Bros., Malpaso Company",Buddy Van Horn
the awakening,Horror,"Orion Pictures, EMI Films Ltd.",Mike Newell
bad timing,"Drama, Mystery, Thriller","The Rank Organisation, Recorded Picture Company (RPC)",Nicolas Roeg
the big brawl,"Action, Comedy",no register,Robert Clouse
american pie 2,"Comedy, Romance","Universal Pictures, Liveplanet, Zide-Perry Productions",J.B. Rogers
osmosis jones,"Adventure, Animation, Action, Comedy, Family","Conundrum Entertainment, Warner Bros. Animation, Warner Bros.",Bobby Farrelly
the others,"Horror, Drama, Mystery, Thriller","Cruise/Wagner Productions, Canal Plus, Sogecine, Las Producciones del Escorpion, Lucky Red, Dimension Films, Miramax",Alejandro Amenábar
american outlaws,"Action, Western",Morgan Creek Productions,Les Mayfield
all over the guy,"Comedy, Romance",LionsGate,Julie Davis
the deep end,"Drama, Crime, Mystery",i5 Films,Scott McGehee
on the edge,"Drama, Romance",Hell's Kitchen Films,John Carney
session 9,"Horror, Mystery","October Films, USA Films, Scout Productions",Brad Anderson
the turandot project,no register,no register,Alan Miiller
captain corelli's mandolin,"Drama, History, Romance","Miramax Films, Universal Pictures",John Madden
rat race,"Adventure, Comedy","Paramount Pictures, Fireworks Pictures, Alphaville Films",Jerry Zucker
aberdeen,"Drama, Comedy, Foreign",Filmfabriken Baltic Sea AB,Hans Petter Moland
innocence,no register,no register,Paul Cox
bubble boy,"Adventure, Comedy, Drama, Romance",Touchstone Pictures,Blair Hayes
the curse of the jade scorpion,"Comedy, Crime, Mystery, Romance, Thriller","DreamWorks SKG, Gravier Productions",Woody Allen
jay and silent bob strike back,Comedy,"Dimension Films, View Askew Productions, Miramax",Kevin Smith
ghosts of mars,"Action, Horror, Science Fiction","Screen Gems, Storm King Productions, Animationwerks",John Carpenter
summer catch,"Drama, Comedy, Romance","Tollin/Robbins Productions, Warner Bros.",Mike Tollin
an american rhapsody,"Drama, Family","Paramount Classics, Fireworks Pictures, Seven Arts Pictures",Éva Gárdos
happy accidents,"Comedy, Romance, Science Fiction",Independent Film Channel,Brad Anderson
lisa picard is famous,no register,no register,Griffin Dunne
maybe baby,"Comedy, Romance","Pandora Cinema, BBC Films",Ben Elton
together,"Drama, Comedy, Romance","Nordisk Film, Memfis Film, Key Films",Lukas Moodysson
punks,"Comedy, Romance",no register,Patrik-Ian Polk
tortilla soup,"Comedy, Drama, Romance",no register,María Ripoll
jeepers creepers,"Horror, Thriller","United Artists, American Zoetrope, Cinerenta Medienbeteiligungs KG, Cinerenta-Cinebeta, VCL Communications",Victor Salva
o,"Drama, Romance, Thriller","FilmEngine, Chickie The Cop Production, Daniel Fried Productions, Rhulen Entertainment",Tim Blake Nelson
waking up in reno,"Comedy, Romance",Miramax Films,Jordan Brady
speedway junky,"Romance, Drama, Crime","Golan-Globus Productions, Powers That Be Pictures, Magic Entertainment, Inc., Miracle Entertainment",Nickolas Perry
3 ninjas,"Action, Adventure, Comedy, Family",Touchstone Pictures,Jon Turteltaub
3 ninjas kick back,"Adventure, Action, Comedy, Family","TriStar Pictures, Sheen Productions, Ben-Ami/Leeds Productions",Charles T. Kanganis
3 ninjas knuckle up,"Adventure, Action, Comedy, Family",TriStar Pictures,Shin Sang-ok
the hunter,"Action, Drama, Thriller","Paramount Pictures, Rastar Pictures",Buzz Kulik
maniac,Horror,Magnum Motion Pictures Inc..,William Lustig
vamp,"Comedy, Horror","Balcor Film Investors, Planet Productions",Richard Wenk
the wicker man,"Horror, Music, Mystery, Thriller",British Lion Film Corporation,Robin Hardy
wish upon a star,"Family, Comedy, Fantasy","Warner Home Video, Disney Channel, Columbia TriStar Home Entertainment, Leucadia Film Corporation",Blair Treu
the musketeer,"Action, Adventure, Drama","Crystal Sky Worldwide, MDP Worldwide, ApolloMedia Distribution, Carousel Picture Company, The, Signature Entertainment, Luxembourg Film Fund, D'Artagnan Productions Limited, Q&Q Medien GmbH",Peter Hyams
rock star,"Music, Drama, Comedy","Bel Air Entertainment, Warner Bros., Robert Lawrence Productions, Metal Productions Inc., Maysville Pictures",Stephen Herek
soul survivors,"Horror, Mystery, Thriller",no register,Stephen Carpenter
two can play that game,"Comedy, Romance",Screen Gems,Mark Brown
bounce: behind the velvet rope,no register,no register,no register
diamond men,"Drama, Thriller, Mystery",no register,Dan Cohen
djomeh,Drama,"Lumen Films, Behnegar",Hassan Yektapanah
the iron ladies,"Comedy, Drama",Tai Entertainment,Yongyoot Thongkongtoon
kill me later,"Drama, Action, Comedy, Thriller, Crime, Romance",no register,Dana Lustig
l.i.e.,Drama,no register,Michael Cuesta
our lady of the assassins,"Crime, Drama, Romance","Les Films du Losange, Canal+, Tornasol Films, Vertigo Films, Proyecto Tucan",Barbet Schroeder
abbott and costello meet the mummy,Comedy,Universal Pictures International (UPI),Charles Lamont
"dr. mabuse, the gambler","Crime, Drama, Mystery, Thriller",Uco-Film GmbH,Fritz Lang
into the arms of strangers: stories of the kindertransport,Documentary,no register,Mark Jonathan Harris
the glass house,"Drama, Thriller",Original Film,Daniel Sackheim
hardball,"Comedy, Romance","Paramount Pictures, GHS Productions KG, Munich Film Partners & Company (MFP) GHS Productions, Nides/McCormick Productions",Brian Robbins
dinner rush,"Drama, Action, Thriller","Access Motion Picture Group, Giraldi-Suarez-DiGiaimo Productions",Bob Giraldi
haiku tunnel,Comedy,no register,Jacob Kornbluth
big trouble,"Action, Comedy, Thriller",Touchstone Pictures,Barry Sonnenfeld
glitter,"Drama, Romance","Twentieth Century Fox Film Corporation, Laurence Mark Productions, Columbia Pictures Corporation, Glitter Productions, Maroon Entertainment",Vondie Curtis-Hall
training day,"Action, Crime, Drama, Thriller","Village Roadshow Pictures, NPV Entertainment, Warner Bros., Outlaw Productions (I), WV Films II",Antoine Fuqua
the american astronaut,"Action, Comedy, Science Fiction, Music",no register,Cory McAbee
children underground,Documentary,no register,Edet Belzberg
go tigers!,Documentary,no register,Kenneth A. Carlson
liam,Drama,"British Broadcasting Corporation (BBC), Road Movies Filmproduktion, Liam Films",Stephen Frears
megiddo: the omega code 2,"Action, Science Fiction, Thriller","Infinity Omnimedia, TBN Films",Brian Trenchard-Smith
sidewalks of new york,"Comedy, Drama, Romance",Paramount Classics,Edward Burns
the endurance: shackleton's legendary antarctic expedition,"Documentary, History",Discovery Channel Pictures,George Butler
the french lieutenant's woman,"Drama, Romance",Juniper Films,Karel Reisz
the great silence,"Action, Drama, Western","Les Films Corona, Adelphia Compagnia Cinematografica",Sergio Corbucci
the legend of hell house,"Horror, Mystery",Academy Pictures,John Hough
little man tate,"Drama, Family",Orion Pictures,Jodie Foster
moscow does not believe in tears,"Drama, Comedy, Romance",Mosfilm,Vladimir Menshov
phantom of the paradise,"Comedy, Fantasy, Horror, Music, Thriller","Twentieth Century Fox Film Corporation, Harbor Productions",Brian De Palma
the return of a man called horse,"Action, Drama, Western","United Artists, Sandy Howard Productions",Irvin Kershner
valdez is coming,Western,"Norlan Productions, Ira Steiner Productions",Edwin Sherin
13 ghosts,Horror,William Castle Productions,William Castle
montenegro,"Comedy, Drama, Romance","Smart Egg Pictures, Europa Film, Viking Film",Dusan Makavejev
opera,"Thriller, Horror, Mystery",no register,Dario Argento
father goose,"Adventure, Comedy, Romance",Granox Productions,Ralph Nelson
the grass is greener,"Comedy, Drama, Romance",Grandon Productions,Stanley Donen
a hole in the head,"Comedy, Music",SinCap Productions,Frank Capra
indiscreet,"Comedy, Romance","Warner Bros., Grandon Productions Ltd.",Stanley Donen
"it's a mad, mad, mad, mad world","Action, Adventure, Comedy, Crime","United Artists, Casey Productions",Stanley Kramer
king solomon's mines,"Action, Adventure, Drama",Gaumont British Picture Corporation,Robert Stevenson
the little foxes,"Drama, Romance","RKO Radio Pictures, Samuel Goldwyn Company, The",William Wyler
operation petticoat,"Action, Comedy, Romance",Universal International Pictures (UI),Blake Edwards
play misty for me,"Crime, Drama, Romance, Thriller","Universal Pictures, Malpaso Productions",Clint Eastwood
pocketful of miracles,"Comedy, Drama",Franton Production,Frank Capra
sayonara,"Drama, Romance","William Goetz Productions, Pennebaker Productions",Joshua Logan
the shop on main street,"Drama, War",Filmové Studio Barrandov,Ján Kadár
spring break,"Comedy, Romance",Fogbound Inc.,Sean S. Cunningham
the vanishing,"Thriller, Drama, Mystery",Twentieth Century Fox Film Corporation,George Sluizer
silkwood,"Drama, Thriller",ABC Pictures,Mike Nichols
i never promised you a rose garden,Drama,no register,Anthony Page
quadrophenia,"Drama, Music","The Criterion Collection, Polytel, The Who Films",Franc Roddam
spacecamp,"Family, Adventure",ABC Motion Pictures,Harry Winer
when worlds collide,"Action, Fantasy, Science Fiction, Thriller",Paramount Pictures,Rudolph Maté
don't say a word,Thriller,"Village Roadshow Pictures, NPV Entertainment, Regency Enterprises, Kopelson Entertainment, Epsilon Motion Pictures, New Regency Pictures, Furthur Films",Gary Fleder
hearts in atlantis,"Drama, Mystery","Village Roadshow Pictures, Castle Rock Entertainment, Warner Bros.",Scott Hicks
zoolander,Comedy,"Paramount Pictures, Village Roadshow Pictures, NPV Entertainment, Scott Rudin Productions, Red Hour Productions, Tenth Planet Productions, VH1 Television, Red Hour Films, MFP Munich Film Partners GmbH & Company I. Produktions KG",Ben Stiller
born romantic,"Comedy, Romance","Kismet Film Company, British Broadcasting Corporation (BBC), Harvest Pictures, Random Harvest Pictures",David Kane
extreme days,"Action, Adventure, Comedy, Romance","Providence Entertainment, Tricor Entertainment, Truth Soul Armor",Eric Hannah
va savoir (who knows?),"Comedy, Crime, Drama","V.M. Productions, France2 Cinéma",Jacques Rivette
won't anybody listen,"Music, Documentary",no register,Dov Kelemer
joy ride,"Mystery, Thriller, Drama","Regency Enterprises, Epsilon Motion Pictures, LivePlanet, New Regency Pictures, Bad Robot",John Dahl
max keeble's big move,"Comedy, Family, Fantasy, Science Fiction","Walt Disney Pictures, Karz Entertainment",Tim Hill
serendipity,"Comedy, Romance","Miramax Films, Tapestry Films, Simon Fields Productions",Peter Chelsom
grateful dawg,"Documentary, Music",no register,Gillian Grisman
la cienaga,"Comedy, Drama","Wanda Visión S.A., Cuatro Cabezas, 4k Films",Lucrecia Martel
the big red one,"Drama, War",Lorimar Productions,Samuel Fuller
the boogey man,Horror,The Jerry Gross Organization,Ulli Lommel
the party,"Drama, Romance, Comedy","Gaumont, Gaumont International, Production Marcel Dassault",Claude Pinoteau
lady in a cage,"Drama, Mystery, Thriller","Paramount Pictures, Luther Davis Productions, AEC",Walter Grauman
brubaker,"Crime, Drama",Twentieth Century Fox Film Corporation,Stuart Rosenberg
can't stop the music,"Comedy, Music",EMI Films,Nancy Walker
carny,Drama,Lorimar Productions,Robert Kaylor
the changeling,"Horror, Thriller","Chessman Park Productions, Carolco Pictures",Peter Medak
cheech & chong's next movie,"Action, Adventure, Comedy",Universal Pictures,Tommy Chong
coal miner's daughter,"Drama, Music",Universal Pictures,Michael Apted
the competition,"Drama, Romance, Music","Columbia Pictures Corporation, Rastar Films",Joel Oliansky
cruising,"Horror, Action, Drama, Mystery, Thriller","Lorimar Film Entertainment, CiP - Europaische Treuhand AG",William Friedkin
d.o.a.,"Documentary, Music, History",no register,Lech Kowalski
death ship,"Adventure, Horror, Mystery, Thriller","Lamitas, Astral Bellevue Pathé, Bloodstar Productions",Alvin Rakoff
the last metro,"Drama, Romance, War","Les Films du Carrosse, TF1 Films Production, Société Française de Production (SFP), Sédif Productions",François Truffaut
divine madness,Music,The Ladd Company,Michael Ritchie
the dogs of war,"Thriller, Action, Adventure",Juniper Films,John Irvin
the learning curve,"Crime, Drama, Thriller",no register,Eric Schwab
bandits,"Action, Comedy, Crime, Romance","Cheyenne Enterprises, Epsilon Motion Pictures, Empire Pictures, Metro-Goldwyn-Mayer (MGM), Hyde Park Entertainment, Baltimore Spring Creek Productions, Lotus Pictures",Barry Levinson
corky romano,"Action, Comedy, Crime","Robert Simonds Productions, Touchstone Pictures",Rob Pritts
iron monkey,"Action, Crime, Drama","Golden Harvest Company, Film Workshop, Long Shong Pictures, Media Asia Films",Yuen Woo-ping
fat girl,Drama,"CB Films, Canal+, Arte France Cinéma, Flach Film, Urania Pictures S.r.l., Centre National de la Cinématographie (CNC), Immagine e Cinema",Catherine Breillat
mulholland drive,"Thriller, Drama, Mystery","Asymmetrical Productions, Les Films Alain Sarde, Babbo Inc., The Picture Factory, Canal+",David Lynch
my first mister,"Comedy, Drama, Romance","Film Roman Productions, ApolloMedia Distribution, Total Film Group, Firelight Films",Christine Lahti
spriggan,"Action, Animation, Science Fiction","Bandai Visual Company (JAPAN), Tokyo Broadcasting System (TBS), Studio 4°C",Hirotsugu Kawasaki
things behind the sun,Drama,"Sidekick Entertainment, Echo Lake Entertainment",Allison Anders
bones,"Action, Horror, Thriller",New Line Cinema,Ernest R. Dickerson
brannigan,"Action, Crime, Drama, Mystery, Thriller","Levy-Gardner-Laven, United Artists Pictures, Wellborn",Douglas Hickox
clambake,"Music, Romance","Levy-Gardner-Laven, Rhodes Pictures",Athur H. Nadel
dirty harry,"Action, Crime, Thriller","Warner Bros., Malpaso Company",Don Siegel
destiny in space,Documentary,"IMAX, Lockheed Aircraft Corporation, National Air and Space Museum",Ben Burtt
fiddler on the roof,"Drama, Romance","United Artists, Cartier Productions, Mirisch Corporation, The",Norman Jewison
hail columbia!,Documentary,no register,Graeme Ferguson
kansas,"Drama, Thriller, Crime, Romance",no register,David Stevens
making the grade,"Comedy, Romance","Cannon Group, Metro-Goldwyn-Mayer (MGM)",Dorian Walker
mission to mir,Documentary,IMAX,Ivan Galin
not without my daughter,"Drama, Thriller","Pathé Entertainment, Metro-Goldwyn-Mayer (MGM), Ufland",Brian Gilbert
female trouble,"Comedy, Crime",Dreamland,John Waters
titanica,Documentary,no register,Stephen Low
from hell,"Horror, Mystery, Thriller","Twentieth Century Fox Film Corporation, Underworld Entertainment",Albert Hughes
the last castle,"Action, Drama, Thriller",DreamWorks SKG,Rod Lurie
riding in cars with boys,"Comedy, Drama, Romance",Columbia Pictures,Penny Marshall
bangkok dangerous,"Thriller, Action, Crime, Drama","Film Bangkok, Pang Bros.",Oxide Pang Chun
burnt money,Crime,"Ibermedia, Vía Digital, Instituto Nacional de Cine y Artes Audiovisuales (INCAA), Tornasol Films, Oscar Kramer S.A., Cuatro Cabezas, Estudios Darwin, Romikin S.A., Patricio Tobal, Editorial Capayán, Fundación Octubre, Mandarin Films S.A., Punto B.S.R.L. Planificación y Medios, Taxi Films",Marcelo Piñeyro
dancing at the blue iguana,"Drama, Mystery","Dragon Pictures, Moonstone Entertainment, Bergman Lustig Productions, Gallery Motion Pictures, Keystone Studios",Michael Radford
focus,Drama,"Dog Pond Productions, Focus Productions Inc., Carros Pictures",Neal Slavin
intimacy,"Romance, Drama","ARTE France Cinéma, StudioCanal",Patrice Chéreau
waking life,"Animation, Drama","Fox Searchlight Pictures, Thousand Words, Independent Film Channel (IFC), Detour Filmproduction, Line Research, Flat Black Films",Richard Linklater
k-pax,"Drama, Science Fiction","Intermedia Films, Lawrence Gordon Productions, Pathé Pictures International, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG",Iain Softley
on the line,"Comedy, Family, Romance","Miramax Films, Tapestry Films, A Happy Place",Eric Bross
thir13en ghosts,"Horror, Thriller","Columbia Pictures Corporation, Dark Castle Entertainment, Warner Bros., 13 Ghosts Productions Canada Inc.",Steve Beck
better than sex,"Romance, Drama, Comedy","Better Than, France Télévision Distribution, Meercat Films, New Vision Films",Jonathan Teplitzky
donnie darko,"Fantasy, Drama, Mystery","Pandora Cinema, Twentieth Century Fox Film Corporation, Flower Films, Adam Fields Productions",Richard Kelly
high heels and low lifes,"Action, Crime, Comedy","Fragile Films, Touchstone Pictures",Mel Smith
life as a house,Drama,New Line Cinema,Irwin Winkler
the man who wasn't there,"Crime, Drama",The KL Line,Joel Coen
the town is quiet,"Drama, Foreign",no register,Robert Guédiguian
trembling before g-d,no register,no register,Sandi Simcha Dubowski
domestic disturbance,"Mystery, Thriller, Crime",Paramount Pictures,Harold Becker
"monsters, inc.","Animation, Comedy, Family","Walt Disney Pictures, Pixar Animation Studios",Pete Docter
the one,"Action, Science Fiction, Thriller","Columbia Pictures, Revolution Studios, Hard Eight Pictures, Wonder works studios entertainment group",James Wong
tape,Drama,"The Independent Film Channel Productions, Detour Filmproduction, IFC Productions, InDigEnt (Independent Digital Entertainment), Tape Productions Inc.",Richard Linklater
heist,"Action, Crime, Drama, Thriller","Epsilon Motion Pictures, Franchise Pictures, Indelible Pictures, Linson Entertainment, Art Linson Productions, Morgan Creek Productions, Stolen Film Productions",David Mamet
shallow hal,"Comedy, Romance",Twentieth Century Fox Film Corporation,Bobby Farrelly
king of the jungle,"Drama, Thriller",no register,Seth Zvi Rosenfeld
maze,"Drama, Comedy, Romance",no register,Rob Morrow
when a stranger calls,"Horror, Thriller","Columbia Pictures Corporation, Melvin Simon Productions",Fred Walton
timerider: the adventure of lyle swann,"Action, Science Fiction, Western",Zoomo Productions,William Dear
the wash,"Action, Comedy",Lionsgate,DJ Pooh
harry potter and the philosopher's stone,"Adventure, Fantasy, Family","1492 Pictures, Warner Bros., Heyday Films",Chris Columbus
the fluffer,"Comedy, Drama","TLA Releasing, Fluff and Fold LLC",Richard Glatzer
novocaine,"Comedy, Crime, Thriller",Numb Gums Production Inc.,David Atkins
black knight,"Adventure, Comedy, Fantasy","Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Runteldat Entertainment, Firm, The",Gil Junger
out cold,Comedy,"Spyglass Entertainment, Donners' Company, Epsilon Motion Pictures, Touchstone Pictures",Brendan Malloy
spy game,"Action, Crime, Thriller","Universal Pictures, Metropolitan Filmexport, Toho-Towa, Red Wagon Productions, Beacon Communications, Kalima Productions GmbH & Co. KG",Tony Scott
the devil's backbone,"Fantasy, Drama, Horror, Thriller, Science Fiction","Producciones Anhelo, Canal+ España, Tequila Gang, El Deseo S.A., Sogepaq",Guillermo del Toro
in the bedroom,"Drama, Thriller","Miramax Films, GreeneStreet/SKE Films",Todd Field
the way we laughed,no register,no register,Gianni Amelio
hell up in harlem,"Action, Thriller",American International Pictures (AIP),Larry Cohen
bucktown,Action,Plitt Theaters,Arthur Marks
across 110th street,"Action, Crime, Drama, Thriller",Film Guarantors,Barry Shear
le petit soldat,"Drama, War","Société Nouvelle de Cinématographie, Les Films Georges de Beauregard",Jean-Luc Godard
the incredible shrinking woman,"Comedy, Family, Science Fiction",Universal Pictures,Joel Schumacher
katie tippel,"Romance, Drama",Rob Houwer Productions,Paul Verhoeven
jabberwocky,"Fantasy, Comedy","Umbrella Films, Python Films",Terry Gilliam
funny girl,"Drama, Comedy, Music, Romance","Columbia Pictures Corporation, Rastar Productions",William Wyler
circus of horrors,Horror,Lynx Films Ltd.,Sidney Hayers
breathless,"Drama, Crime","Société Nouvelle de Cinématographie, Les Films Impéria, Les Productions Georges de Beauregard",Jean-Luc Godard
the beastmaster,"Action, Fantasy","Antares Produzione Cinematografica, Metro-Goldwyn-Mayer (MGM)",Don Coscarelli
midway,"Action, Drama, History, War","Universal Pictures, The Mirisch Corporation",Jack Smight
macarthur,"Drama, History",Universal Pictures Corporation,Joseph Sargent
the young lions,"Action, Drama, War",Twentieth Century Fox Film Corporation,Edward Dmytryk
subway,"Action, Thriller",Gaumont,Luc Besson
"now, voyager","Drama, Romance",Warner Bros.,Irving Rapper
little women,"Drama, Family",RKO Radio Pictures,George Cukor
halls of montezuma,"Adventure, Drama, Action, War",no register,Lewis Milestone
guadalcanal diary,"Action, War, Drama",Twentieth Century Fox Film Corporation,Lewis Seiler
anzio,"Action, Drama, War","Columbia Pictures Corporation, Dino de Laurentiis Cinematografica",Edward Dmytryk
the cheap detective,"Comedy, Thriller, Crime, Mystery","Columbia Pictures Corporation, Rastar Pictures, EMI Films",Robert Moore
the last wave,"Drama, Mystery, Thriller",Australian Film Commission,Peter Weir
that obscure object of desire,"Comedy, Drama, Romance","Greenwich Film Productions, In-Cine Compania Industrial Cinematografica, Les Films Galaxie",Luis Buñuel
the toy,"Comedy, Family","Columbia Pictures, Delphi Films, Rastar Films",Richard Donner
funeral in berlin,Thriller,"Paramount Pictures, Lowndes Productions Limited",Guy Hamilton
don't go in the house,Horror,Turbine Films Inc.,Joseph Ellison
dressed to kill,"Horror, Mystery, Thriller","Filmways Pictures, Cinema 77 Films",Brian De Palma
the earthling,"Action, Drama","Filmways Pictures, Arkoff International, Earthling Associates",Peter Collinson
the exterminator,"Action, Thriller, Crime, Drama","AVCO Embassy Pictures, Interstar",James Glickenhaus
the falls,"Drama, Science Fiction",British Film Institute (BFI),Peter Greenaway
fame,Drama,Metro-Goldwyn-Mayer (MGM),Alan Parker
fatso,"Comedy, Romance",Brooksfilms,Anne Bancroft
the aviator's wife,"Comedy, Drama, Romance",Les Films du Losange,Éric Rohmer
the final countdown,"Action, Science Fiction",The Bryna Company,Don Taylor
the first deadly sin,"Crime, Drama, Mystery, Thriller",Artanis Productions Inc.,Brian G. Hutton
flash gordon,Science Fiction,"Dino De Laurentiis Company, Starling Films",Mike Hodges
the angry red planet,"Adventure, Science Fiction","American International Pictures (AIP), Sino",Ib Melchior
at the earth's core,"Adventure, Fantasy, Science Fiction","Amicus Productions, American International Pictures (AIP), Burroughs Productions Inc.",Kevin Connor
empire of the ants,"Horror, Science Fiction",Cinema 77,Bert I. Gordon
the enforcer,"Action, Crime, Thriller",Warner Bros.,James Fargo
an eye for an eye,"Adventure, Action, Crime","Adams Apple Film Company, South Street Films, Wescom Barber International",Steve Carver
the gauntlet,"Drama, Action, Crime, Thriller","Malpaso Productions, Warner Bros.",Clint Eastwood
